,index,Unnamed: 0,poems,our_summary,ground_summaries
1693,1704,1704,"Treason doth never prosper; what's the reason?
For if it prosper, none dare call it treason.","The treason of a treason is never prospered, for","'Of Treason' by John Harington is a very short poem that expresses a truth about treason and control. The speaker poses a question in the first line (a rhetorical question). They proceed to answer this question in the next line. They're asking why treason doesn't “prosper” or why it leads to nothing but failure and death. The answer is that it's only called “treason” when it's unsuccessful. When it is successful, it results in a new leader/ruler, and saying anything against this person would be unwise. No one would “dare” call what was done “treason.”"
1694,1705,1705,"Bobby Shafto's gone to sea,
With silver buckles at his knee;
He'll come back and marry me,-
Pretty Bobby Shafto!

Bobby Shafto's fat and fair,
Combing out his yellow hair,
He's my love for evermore,-
Pretty Bobby Shafto!","Bobby Shafto's gone to sea, With silver buckles at his knee; He","'Bobby Shafto's Gone to Sea' is a song delivered by a lover longing for her true love's return. The speaker starts the lines describing her love, Bobby Shafto, and stating that he's gone to see. She hopes he'll return one day and marry her. Although there are few details in this song, it seems likely that Bobby may run into trouble that prevents him from getting back to the speaker. Plus, it's unclear if the love the speaker admits to is reciprocated. The second set of four lines adds more details to the story. It's clear the speaker admires Bobby's looks, repetitively returning to language that praises them. She declares that he's her love “for evermore” at the end of the nursery rhyme."
1695,1706,1706,"We're writing as the daughter of a / dying world / as
its new-faced alert. / In math, the slash / also called
the solidus / means division, divided by. / We were
divided / from each other, person / person. / Some
griefs, like rivers, are uncross / able. They are not to be
waded across / but walked beside. Our loss / colossal
& blossomed / is never lost on us. Love the earth / like
we've failed it. To put it plain / we have shipwrecked
the earth / soiled the soil / & run the ground aground. /
Listen. We are the loud toll / on this planet. / Our future
needs us / alarmed. Man is a myth / in the making. /
What is now dust will not return, / not the beloveds /
nor their breath, / nor the sugar-crumbling glaciers, /
nor the crows chewing / on their own soured song, /
nor all the species / slashed / down / in one smogged
swoop. / Extinction is a chorus / of quiet punching /
that same note. What can never be brought back / can
still be brought forth / in memory / in mouth / in mind.
To say it plain is to tell / only half / of the story.",We're writing as the daughter of a dying world as its new-faced alert,"'Alarum' by Amanda Gorman is a powerful poem that focuses on the changes brought about by the climate crisis and what can be done. The poem, the title of which is an archaic word for “alarm,” reminds the reader of all that can and has been lost due to climate change. The speaker focuses on the concept of division and how there is so much separation between people in regard to the nature of the climate crisis and what can or should be done. The poet describes the immensity of what can and has been lost as well as how remembering the loss is important, but it's not the same as never losing the thing in the first place. Extinction is occurring at all times, and the alarm has to be rung continuously."
1696,1707,1707,"Sweet day, so cool, so calm, so bright,
The bridal of the earth and sky;
The dew shall weep thy fall to-night,
For thou must die.

Sweet rose, whose hue angry and brave
Bids the rash gazer wipe his eye;
Thy root is ever in its grave,
And thou must die.

Sweet spring, full of sweet days and roses,
A box where sweets compacted lie;
My music shows ye have your closes,
And all must die.

Only a sweet and virtuous soul,
Like season'd timber, never gives;
But though the whole world turn to coal,
Then chiefly lives.","Sweet day, so cool, so calm, so bright, The bridal of the earth and sky","'Virtue' by Geroge Herbert describes how the day, rose, and spring, all the beautiful things of nature, are inconstant in comparison to “a sweet and virtuous soul”. This poem begins with a reference to the “sweet day”. Though it is so cool, calm, and bright, in the eve its beauty fades away. A rose which bids a rash gazer wipe his eye, its root is embedded in one's grave. It means that the flower will also die in the future. Likewise, spring is also transient. The season comes for a short period of time each year. Then it bids goodbye to all. At the end of the poem, Herbert says the virtue of one's soul is everlasting. It chiefly lives even though the whole world turns to coal."
1697,1708,1708,"The future was a beautiful place, once.
Remember the full-blown balsa-wood town
on public display in the Civic Hall.
The ring-bound sketches, artists’ impressions,

blueprints of smoked glass and tubular steel,
board-game suburbs, modes of transportation
like fairground rides or executive toys.
Cities like dreams, cantilevered by light.

And people like us at the bottle-bank
next to the cycle-path, or dog-walking
over tended strips of fuzzy-felt grass,
or model drivers, motoring home in
electric cars, or after the late show -
strolling the boulevard. They were the plans,
all underwritten in the neat left-hand
of architects – a true, legible script.

I pulled that future out of the north wind
at the landfill site, stamped with today’s date,
riding the air with other such futures,
all unlived in and now fully extinct.","The future was a beautiful place, once. Remember the full-blown balsa-","Form and Tone 'A Vision' is written in free verse. It is four stanzas long and each stanza consists of five lines. There is no rhyming pattern in place although there is the occasional use of assonance and alliteration (the repetition of certain sounds). 'A Vision' uses striking imagery to create a vision of a sort of utopian future. (based on an architect's model.) However, this is constantly and subtly subverted by the use of certain key contradictions as you will see from my analysis."
1698,1709,1709,"Sleep, little Baby, sleep;
The holy Angels love thee,
And guard thy bed, and keep
A blessed watch above thee.
No spirit can come near
Nor evil beast to harm thee:
Sleep, Sweet, devoid of fear
Where nothing need alarm thee.

The Love which doth not sleep,
The eternal Arms surround thee:
The Shepherd of the sheep
In perfect love hath found thee.
Sleep through the holy night,
Christ-kept from snare and sorrow,
Until thou wake to light
And love and warmth to-morrow.","Sleep, little baby, sleep; The holy Angels love thee, And guard th","Holy Innocents' by Christina Rossetti is a devotional poem about the purity and innocence of a child's soul. 'Holy Innocents' by Christina Rossetti presents an image of a “little baby” who is sleeping. The speaker in the poem seems to be the baby's mother. To be specific it is not the case in the poem. In this poem, Christina uses the baby as a symbol of Jesus Christ. Whatsoever in the first stanza, the poet talks about the purity of a baby's soul. The “holy Angels” of heaven love a baby for its proximity with God, the creator. There is no evil spirit or beast which can harm a little baby. A man's spirit is so powerful at infancy that he is as powerful as the creator himself. That's why the baby has nothing to worry about. In the next stanza, Rossetti brings in the essential Christian elements in the poem. She resorts to them to advise the baby that Jesus Christ himself is protecting the holy spirits like him/her. The speaker, at last, tells the child that Christ is always with him/her while he/she is sleeping."
1699,1710,1710,"Hog Butcher for the World,
Tool Maker, Stacker of Wheat,
Player with Railroads and the Nation's Freight Handler;
Stormy, husky, brawling,
City of the Big Shoulders:
They tell me you are wicked and I believe them, for I have seen your painted women under the gas lamps luring the farm boys.
And they tell me you are crooked and I answer: Yes, it is true I have seen the gunman kill and go free to kill again.
And they tell me you are brutal and my reply is: On the faces of women and children I have seen the marks of wanton hunger.
And having answered so I turn once more to those who sneer at this my city, and I give them back the sneer and say to them:
Come and show me another city with lifted head singing so proud to be alive and coarse and strong and cunning.
Flinging magnetic curses amid the toil of piling job on job, here is a tall bold slugger set vivid against the little soft cities;
Fierce as a dog with tongue lapping for action, cunning as a savage pitted against the wilderness,
Bareheaded,
Shoveling,
Wrecking,
Planning,
Building, breaking, rebuilding,
Under the smoke, dust all over his mouth, laughing with white teeth,
Under the terrible burden of destiny laughing as a young man laughs,
Laughing even as an ignorant fighter laughs who has never lost a battle,
Bragging and laughing that under his wrist is the pulse, and under his ribs the heart of the people,
Laughing!
Laughing the stormy, husky, brawling laughter of Youth, half-naked, sweating, proud to be Hog Butcher, Tool Maker, Stacker of Wheat, Player with Railroads and Freight Handler to the Nation.","Stormy, husky, brawling, City of the Big Shoulders: They","Chicago' expresses the poet's admiration and pride in Chicago. The poet narrates what he observed and heard in the city. The speaker praises Chicago for its aesthetic nature and the flourishing industries. He portrays Chicago as a big, vibrant, and developing place. The poem begins with the poet addressing the city with different names which well suits its nature. The following lines are the arguments with 'They' those who criticize the negative aspects of the city. Though it looks like he agrees to whatever they say, in the later lines, he comes back at them with his observation of the city, highlighting all the positive sides of it. Despite Chicago being considered as a dangerous place to live in, the citizens are proud to be a part of this city because of its vibrancy, which reflects who they are."
1700,1711,1711,"There is a train inside this iris:

You think I'm crazy, & like to say boyish
& outrageous things. No, there is

A train inside this iris.

It's a child's finger bearded in black banners.
A single window like a child's nail,

A darkened porthole lit by the white, angular face

Of an old woman, or perhaps the boy beside her in the stuffy,
Hot compartment. Her hair is silver, & sweeps

Back off her forehead, onto her cold and bruised shoulders.

The prairies fail along Chicago. Past the five
Lakes. Into the black woods of her New York; & as I bend

Close above the iris, I see the train

Drive deep into the damp heart of its stem, & the gravel
Of the garden path

Cracks under my feet as I walk this long corridor

Of elms, arched
Like the ceiling of a French railway pier where a boy

With pale curls holding

A fresh iris is waving goodbye to a grandmother, gazing
A long time

Into the flower, as if he were looking some great

Distance, or down an empty garden path & he believes a man 
Is walking toward him, working

Dull shears in one hand; & now believe me: The train

Is gone. The old woman is dead, & the boy. The iris curls,
On its stalk, in the shade

Of those elms: Where something like the icy & bitter fragrance

In the wake of a woman who's just swept past you on her way
Home

& you remain."," The train is gone, the old woman is dead, and the boy is dead.</s","'Iris' by David St. John is about how a speaker finds a “train” inside an iris and where it leads him, down memory lane. The poem begins with an exaggerated reference to an iris flower. According to the speaker, he finds a metaphorical “train” inside the flower. It consists of two passengers, one a grandmother and the other one is her grandson. The grandchild is the speaker of the poem. John writes this poem from his perspective. His speaker remembers the day when his grandmother left him by riding on the metaphorical train of life, leading one to death. After the incident, he broods over the iris flower and how it carries the old memories with his grandmother."
1701,1712,1712,"The way the dog trots out the front door
every morning
without a hat or an umbrella,
without any money
or the keys to her doghouse
never fails to fill the saucer of my heart
with milky admiration.
Who provides a finer example
of a life without encumbrance—
Thoreau in his curtainless hut
with a single plate, a single spoon?
Gandhi with his staff and his holy diapers?
Off she goes into the material world
with nothing but her brown coat
and her modest blue collar,
following only her wet nose,
the twin portals of her steady breathing,
followed only by the plume of her tail.
If only she did not shove the cat aside
every morning
and eat all his food
what a model of self-containment she
would be,
what a paragon of earthly detachment.
If only she were not so eager
for a rub behind the ears,
so acrobatic in her welcomes,
if only I were not her god.",The way the dog trots out the front door every morning without a hat or,"Dharma' by Billy Collins is a touching poem about owning a dog, a dog's life, and how they live better, fuller, and freer lives than humans do. The poem expresses the speaker's belief that dogs live better, less encumbered lives than even the best of human beings do. He uses Gandhi and Thoreau as examples. What qualities do they have, the speaker wonders, that his dog doesn't? In the last lines, he outlines some of the things that are a little difficult about his dog. Then, he ends the poem with a powerful statement about his position in his dog's life."
1702,1713,1713,"her grandmother called her from the playground “yes, ma’am”
“i want chu to learn how to make rolls” said the old woman proudly
but the little girl didn’t want
to learn how because she knew
even if she couldn’t say it that
that would mean when the old one died she would be less dependent on her spirit so
she said
“i don’t want to know how to make no rolls”
with her lips poked out
and the old woman wiped her hands on
her apron saying “lord
these children”
and neither of them ever
said what they meant
and i guess nobody ever does", little girl said i don't want to know how to make no rolls,"'Legacies' explores a close family dynamic, with the grandmother wanting to explain to the granddaughter how to make rolls. The granddaughter says openly that she doesn't want to learn, but deep down only doesn't want to learn so she will need her grandmother's spirit for something once she is dead, keeping a connection to her family member. Similarly, the grandmother wants to teach her granddaughter about independence, but does this through a layer of teaching. Both don't say exactly what they mean, with Giovanni concluding that this is something everyone does to an extent."
1703,1714,1714,"Had I not been awake I would have missed it,
A wind that rose and whirled until the roof
Pattered with quick leaves off the sycamore

And got me up, the whole of me a-patter,
Alive and ticking like an electric fence:
Had I not been awake I would have missed it

It came and went too unexpectedly
And almost it seemed dangerously,
Hurtling like an animal at the house,
A courier blast that there and then
Lapsed ordinary. But not ever
After. And not now.",A wind that rose and whirled until the roof Pattered with quick leaves off the,"In 'Had I not been awake', Heaney brilliantly depicts the humming energy of life that surrounds us everyday, but we rarely have cause to notice. The poem begins with an extension of the title, expressing the narrator's gratitude for being awake as it meant he did not miss the ambiguous “it”. Much of the poem's intrigue stems from what this thing may be. Heaney employs his typically evocative poetic eye to the natural world around the narrator, notably the wind and its sounds. As the poem continues, it becomes clear that the narrator draws strength and inspiration from the power of nature, which emboldens them to continue living."
1704,1715,1715,"Mysterious death! who in a single hour
Life's gold can so refine
And by thy art divine
Change mortal weakness to immortal power!
Bending beneath the weight of eighty years
Spent with the noble strife
of a victorious life
We watched her fading heavenward, through our tears.
But ere the sense of loss our hearts had wrung
A miracle was wrought;
And swift as happy thought
She lived again -- brave, beautiful, and young.
Age, pain, and sorrow dropped the veils they wore
And showed the tender eyes
Of angels in disguise,
Whose discipline so patiently she bore.
The past years brought their harvest rich and fair;
While memory and love,
Together, fondly wove
A golden garland for the silver hair.
How could we mourn like those who are bereft,
When every pang of grief
found balm for its relief
In counting up the treasures she had left?--
Faith that withstood the shocks of toil and time;
Hope that defied despair;
Patience that conquered care;
And loyalty, whose courage was sublime;
The great deep heart that was a home for all--
Just, eloquent, and strong
In protest against wrong;
Wide charity, that knew no sin, no fall;
The spartan spirit that made life so grand,
Mating poor daily needs
With high, heroic deeds,
That wrested happiness from Fate's hard hand.
We thought to weep, but sing for joy instead,
Full of the grateful peace
That follows her release;
For nothing but the weary dust lies dead.
Oh, noble woman! never more a queen
Than in the laying down
Of sceptre and of crown
To win a greater kingdom, yet unseen;
Teaching us how to seek the highest goal,
To earn the true success --
To live, to love, to bless --
And make death proud to take a royal soul.","A beautiful woman who lived a life of a lifetime, and a woman who live","Transfiguration' by Louisa May Alcott describes Alcott's own emotions surrounding the death of her much-loved mother, Abigail, at the age of eighty. The poem begins with the speaker relaying the basic features of her mother's life. She was old when she died, and her death came as a relief to all the family members. They knew she no longer had to bear the pain of living on her shoulders and were pleased she was going to heaven. In the next stanzas, the speaker takes the time to describe who her mother was and why she was such an important person. Abigail Alcott did everything she could to make the best life possible for her children. This included completing deeds which were both mundane and “heroic.” The poem concludes with the speaker asking that all those listening to seek to live the kind of life that she is now— one that is “royal.” Death should be proud it is able to take one's soul when that time comes."
1705,1716,1716,"On a distant shore
She stands alone
Her arms outstretched
I walk her home
Soft hands adjoined in an open mind
Love knows no distance
As hearts unwind
On a distant shore
No space remains
Two souls together
Loves sweet refrain
Where miles are unimportant
And smiles judge where we are
I hold you closer
From afar
Words are shared
And thoughts revealed
Soft passion released
No long concealed
Loving the things I hold inside
Where oceans fade
We are side by side
Closer then the space
Dividing each heartbeat
Time is unimportant
Togetherness is sweet
Hold me a little closer
I would like to come inside
Two hearts that beat together as one
It is all such a beautiful ride
I know that now you are dreaming
And I am cuddled up so close
Your warmth it will consume me
It’s the heat that I love most
when your heart awakens
soft kisses touch your cheek
another day together
for the sweet sweet love I seek",i hold you closer from afar words are shared and thoughts revealed soft passion released no,"'Distant Shore' by William Lindenmuth is a simple love poem that addresses the nature of long-distance relationships. The poem depicts one speaker's relationship with an unknown woman in the best possible light. It is beautiful, strong, and indomitable. The two might not be in the same location as the speaker is writing these words but they are together all the same. Their love spans any distance, as long as they are happy with one another. In the final lines, the speaker concludes by acknowledging the fact that they are certain their lover feels the same way they do."
1706,1717,1717,"Shall I say how it is in your clothes?
A month after your death I wear your blue jacket. The dog at the center of my life recognizes you’ve come to visit, he’s ecstatic.
In the left pocket, a hole.
In the right, a parking ticket
delivered up last August on Bay State Road. In my heart, a scatter like milkweed,
a flinging from the pods of the soul.
My skin presses your old outline.
It is hot and dry inside.
I think of the last day of your life,
old friend, how I would unwind it, paste it together in a different collage,
back from the death car idling in the garage, back up the stairs, your praying hands unlaced, reassembling the bits of bread and tuna fish into a ceremony of sandwich,
running the home movie backward to a space we could be easy in, a kitchen place
with vodka and ice, our words like living meat.
Dear friend, you have excited crowds
with your example. They swell
like wine bags, straining at your seams. I will be years gathering up our words, fishing out letters, snapshots, stains,
leaning my ribs against this durable cloth
to put on the dumb blue blazer of your death.",A month after your death I wear your blue jacket. The dog at the center of my life,"'How It Is' by Maxine Kumin commemorates the friendship of the poet with Anne Sexton and revolves around a blue jacket of Sexton. Kumin's persona addresses this poem to her dear old friend, Anne Sexton. Throughout this piece, she shares how she feels while wearing her friend's old jacket. The first stanza captures the speaker putting on the jacket. Her friend's dog becomes ecstatic to see the jacket. She discovers the things kept in her pockets and shares how her heart aches for her dear one's absence. In the second stanza, the speaker tries to ruminate upon the memories of their friendship. She meditates upon a number of things starting from her friend's car to the rooms where her scent still lingered. In the last stanza, she describes how great her friend was. Her poetic voice won hearts. After her death, the speaker tries to jot down her remnants while wearing her “dumb blue blazer.”"
1707,1718,1718,"Back out of all this now too much for us,
Back in a time made simple by the loss
Of detail, burned, dissolved, and broken off
Like graveyard marble sculpture in the weather,
There is a house that is no more a house
Upon a farm that is no more a farm
And in a town that is no more a town.
The road there, if you'll let a guide direct you
Who only has at heart your getting lost,
May seem as if it should have been a quarry—
Great monolithic knees the former town
Long since gave up pretense of keeping covered.
And there's a story in a book about it:
Besides the wear of iron wagon wheels
The ledges show lines ruled southeast northwest,
The chisel work of an enormous Glacier
That braced his feet against the Arctic Pole.
You must not mind a certain coolness from him
Still said to haunt this side of Panther Mountain.
Nor need you mind the serial ordeal
Of being watched from forty cellar holes
As if by eye pairs out of forty firkins.
As for the woods' excitement over you
That sends light rustle rushes to their leaves,
Charge that to upstart inexperience.
Where were they all not twenty years ago?
They think too much of having shaded out
A few old pecker-fretted apple trees.
Make yourself up a cheering song of how
Someone's road home from work this once was,
Who may be just ahead of you on foot
Or creaking with a buggy load of grain.
The height of the adventure is the height
Of country where two village cultures faded
Into each other. Both of them are lost.
And if you're lost enough to find yourself
By now, pull in your ladder road behind you
And put a sign up CLOSED to all but me.
Then make yourself at home. The only field
Now left's no bigger than a harness gall.
First there's the children's house of make believe,
Some shattered dishes underneath a pine,
The playthings in the playhouse of the children.
Weep for what little things could make them glad.
Then for the house that is no more a house,
But only a belilaced cellar hole,
Now slowly closing like a dent in dough.
This was no playhouse but a house in earnest.
Your destination and your destiny's
A brook that was the water of the house,
Cold as a spring as yet so near its source,
Too lofty and original to rage.
(We know the valley streams that when aroused
Will leave their tatters hung on barb and thorn.)
I have kept hidden in the instep arch
Of an old cedar at the waterside
A broken drinking goblet like the Grail
Under a spell so the wrong ones can't find it,
So can't get saved, as Saint Mark says they mustn't.
(I stole the goblet from the children's playhouse.)
Here are your waters and your watering place.
Drink and be whole again beyond confusion.","A brook that was the water of the house, Cold as a spring as yet so","In ‘Directive,’ the speaker asks the traveler to go back from the present confused times to a time in the past, which was simple and which has been blurred or broken like ‘the graveyard marble sculpture by bad weather’. He further tells the traveler to travel on the road leading to a farmhouse which was once inhabited by people, but is deserted now, and where no farming activity is carried on now. There is what was once a town, but what is now a desolate place. The reference here is to the changed condition of New England which was a glorious land in the past, but whose glory has been lost now."
1708,1719,1719,"Were you but lying cold and dead,
And lights were paling out of the West,
You would come hither, and bend your head,
And I would lay my head on your breast;
And you would murmur tender words,
Forgiving me, because you were dead:
Nor would you rise and hasten away,
Though you have the will of wild birds,
But know your hair was bound and wound
About the stars and moon and sun:
O would, beloved, that you lay
Under the dock-leaves in the ground,
While lights were paling one by one.","You were but lying cold and dead, And lights were paling out of the West, You","'He Wishes His Beloved Were Dead' by William Butler Yeats is a ballad in which one lover yearns for the death of the other so that she might forgive him. The speaker states from the beginning that he desires the death of his lover, that she would, now a spirit, come to him and “bend [her] head,” submitting to his will. She will become the person he wishes she was in life, in death. She will, he hopes, forgive him for the unexplained actions that turned her from him. He continues to state that in death she would no longer rise and “hasten away” from his touch as she does in life, but would submit to whatever he desired. She had the “will of wild birds in life,” but not in death. Her hair will be contained and bound within the stars and sky. It will not longer flow free, a symbol of female sexual freedom and liberation. He concludes by reiterating his desire, and saying that ideally his “beloved” would be interred beneath the “dock-leaves” in the ground."
1709,1720,1720,"Sometimes I think that nothing
that ever comes into this house
goes out. Things that come in everyday
to lose themselves among other things
lost long ago among
other things lost long ago;

lame wandering cows from nowhere
have been known to be tethered,
given a name, encouraged


to get pregnant in the broad daylight
of the street under the elders'
supervision, the girls hiding

behind windows with holes in them.

Unread library books
usually mature in two weeks
and begin to lay a row

of little eggs in the ledgers
for fines, as silverfish
in the old man's office room

breed dynasties among long legal words
in the succulence
of Victorian parchment.

Neighbours' dishes brought up
with the greasy sweets they made
all night the day before yesterday

for the wedding anniversary of a god,

never leave the house they enter,
like the servants, the phonographs,
the epilepsies in the blood,
sons-in-law who quite forget
their mothers, but stay to check
accounts or teach arithmetic to nieces,

or the women who come as wives
from houses open on one side
to rising suns, on another

to the setting, accustomed
to wait and to yield to monsoons
in the mountains' calendar

beating through the hanging banana leaves
And also anything that goes out
will come back, processed and often
with long bills attached,

like the hooped bales of cotton
shipped off to invisible Manchesters
and brought back milled and folded

for a price, cloth for our days'
middle-class loins, and muslin
for our richer nights. Letters mailed

have a way of finding their way back
with many re-directions to wrong
addresses and red ink-marks

earned in Tiruvalla and Sialkot.
And ideas behave like rumours,
once casually mentioned somewhere
they come back to the door as prodigies

born to prodigal fathers, with eyes
that vaguely look like our own,
like what Uncle said the other day:

that every Plotinus we read
is what some Alexander looted
between the malarial rivers.

A beggar once came with a violin
to croak out a prostitute song
that our voiceless cook sang
all the time in our backyard.

Nothing stays out: daughters
get married to short-lived idiots;
sons who run away come back


in grand children who recite Sanskrit
to approving old men, or bring
betel nuts for visiting uncles

who keep them gaping with
anecdotes of unseen fathers,
or to bring Ganges water
in a copper pot
for the last of the dying
ancestors' rattle in the throat.

And though many times from everywhere,
recently only twice:
once in nineteen-forty-three
from as far as the Sahara,

half -gnawed by desert foxes,
and lately from somewhere
in the north, a nephew with stripes

on his shoulder was called
an incident on the border
and was brought back in plane

and train and military truck
even before the telegrams reached,
on a perfectly good","telegram, a sailor sailed from the Sahara to the","'Small-Scale Reflections on a Great House' by A.K. Ramanujan speaks about history through an image-rich narrative about a family home. The poem begins with the speaker telling the reader that everything that comes into his house always stays. Or, if it leaves, it eventually comes back again. As soon becomes clear, the speaker really does mean everything. Some of the many “small-scale” things on his list are cows, “prostitute songs,” wives and soldiers, books, photographs, and cloth. Some of the most important things that come into the house, and stay there, are beliefs. In one example the speaker describes how the women are made to follow traditional gender roles and in another how a neighbor brought a dish of sweets for a god's wedding anniversary. Towards the end of the poem, the examples take a darker turn. The speaker starts to talk about war and the men in the family who have gone off to fight. One man went as far as the Sahara but came back “gnawed by desert foxes”. This seems like quite a depressing thing to have happen, but the second man the speaker mentions came back in body alone. He died while fighting and had a complicated route back to the house. Despite the distance, he did come home, and this is the main theme of the poem. That nothing is meaningless in a family. All its quirks, bits of trivia, and important history belong to the home and can't be separated from future generations."
1710,1721,1721,"Nothing is so beautiful as Spring – When weeds, in wheels, shoot long and lovely and lush; Thrush’s eggs look little low heavens, and thrush Through the echoing timber does so rinse and wring The ear, it strikes like lightnings to hear him sing;
The glassy peartree leaves and blooms, they brush The descending blue; that blue is all in a rush With richness; the racing lambs too have fair their fling. What is all this juice and all this joy? A strain of the earth’s sweet being in the beginning
In Eden garden. – Have, get, before it cloy, Before it cloud, Christ, lord, and sour with sinning, Innocent mind and Mayday in girl and boy, Most, O maid’s child, thy choice and worthy the winning.", A strain of the earth’s sweet being in the beginning in Eden garden.</s,"'Spring' by Gerard Manley Hopkins describes the joys of spring against a backdrop of religious references to the Garden of Eden and sin. The poem begins with the speaker giving a fairly straightforward description of spring and the wonders it can bring. He finds the season to be cleansing and rejuvenating. This is made clear through the depiction of a thrush flying through the woods and “rins[ing] and wring[ing]” the world around it. The winter, and with it mistakes and sins, are washed away. The religious imagery continues to develop in the second stanza as the speaker directly addresses God. He asks that Christ make sure that the “innocent” children are saved from the sin that doomed the Garden of Eden."
1711,1722,1722,"Sitting in a porchway cool,
Fades the ruddy sunlight fast,
Twilight hastens on to rule--
Working hours are wellnigh past

Shadows shoot across the lands;
But one sower lingers still,
Old, in rags, he patient stands,--
Looking on, I feel a thrill.

Black and high his silhouette
Dominates the furrows deep!
Now to sow the task is set,
Soon shall come a time to reap.

Marches he along the plain,
To and fro, and scatters wide
From his hands the precious grain;
Moody, I, to see him stride.

Darkness deepens. Gone the light.
Now his gestures to mine eyes
Are august; and strange--his height
Seems to touch the starry skies.","A solitary man sat in a porchway cool, a ru","The Sower' by Victor-Marie Hugo is a poem telling of an old sower's activities from an observer's perspective. The poem begins with the fading of the day into night. The poet persona notes this change as the universal indication working hours are over. As the poem progresses, however, he spots a sower still planting seeds in his fields. The sower's dedication to this activity intrigues him. The persona admires the man's diligence; he also senses the old sower only works till late out of necessity and pities him. In the poem's conclusion, the titular sower never leaves his fields, even when it becomes totally dark. Although the sower's figure is a distorted shadow at the end, out of admiration, the poet persona doesn't stop watching him either. "
1712,1723,1723,"The rising sun had crowned the hills,
And added beauty to the plain;
O grand and wondrous spectacle!
That only nature could explain.
I stood within a leafy grove,
And gazed around in blissful awe;
The sky appeared one mass of blue,
That seemed to spread from sea to shore.
Far as the human eye could see,
Were stretched the fields of waving corn.
Soft on my ear the warbling birds
Were heralding the birth of morn.
While here and there a cottage quaint
Seemed to repose in quiet ease
Amid the trees, whose leaflets waved
And fluttered in the passing breeze.
O morning hour! so dear thy joy,
And how I longed for thee to last;
But e’en thy fading into day
Brought me an echo of the past.
‘Twas this,—how fair my life began;
How pleasant was its hour of dawn;
But, merging into sorrow’s day,
Then beauty faded with the morn.","The rising sun had crowned the hills, And added beauty to the plain; O grand an","'Morning on the Sinnecock' by Olivia Ward Bush-Bank describes how one speaker's life is like the beauty of morning fading to day. In the first lines, the speaker begins by describing how the rising sun “crowned the hills” of the plains and displayed for the speaker, a “wondrous spectacle.” She was there to observe it amongst the leaves. This is later related to the beginning of her life. She was as beautiful and unbothered as the sunrise. As the poem progresses the scene only becomes lovelier. The warmth and light spreads across the field and the birds sing out, “heralding” the coming of morning. In the last lines, the speaker reminds her readers that the morning cannot last. Nothing this beautiful is without end. She also relates the coming of “sorrow's day” to the process of aging. The speaker is no longer the untroubled youth she was at the dawn of her life."
1713,1724,1724,"Gather ye rose-buds while ye may,
Old Time is still a-flying;
And this same flower that smiles today
Tomorrow will be dying.
The glorious lamp of heaven, the sun,
The higher he’s a-getting,
The sooner will his race be run,
And nearer he’s to setting.
That age is best which is the first,
When youth and blood are warmer;
But being spent, the worse, and worst
Times still succeed the former.
Then be not coy, but use your time,
And while ye may, go marry;
For having lost but once your prime,
You may forever tarry.","The glorious lamp of heaven, the sun, The higher he’s a-ge","'To the Virgins, to Make Much of Time' by Robert Herrick describes a speaker's beliefs about the impact of time on a woman's life and the value of beauty. The poem begins with the speaker stating that a woman should do everything she can while she is young to take advantage of the love others want to give her. She will be more appreciated while she is young and beautiful. Therefore, she should “gather [her] rose-buds” or the things in life she needs, before time takes over. Once “Time” has made its mark on her, she will be lost to the happy possibilities of life. In the final sections, the speaker directly tells his female listeners that they need to marry as soon as possible. There is no time to waste being coy as one might end up alone."
